"";"statistic";"signif.level";"dif.com.obs.dif";"dif.com.critical.dif";"dif.com.difference"
"BeT_100_10100_0.9_allComponents-BeT_100_10100_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;8,09999999999999;83,7271488159369;FALSE
"BeT_100_10100_0.9_allComponents-BeT_100_30100_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;33,4;83,7271488159369;FALSE
"BeT_100_10100_0.9_allComponents-BeT_100_30100_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;44,4;83,7271488159369;FALSE
"BeT_100_10100_0.9_allComponents-BeT_100_90100_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;42;83,7271488159369;FALSE
"BeT_100_10100_0.9_allComponents-BeT_100_90100_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;85,7;83,7271488159369;TRUE
"BeT_100_10100_0.9_allComponents-BeT_200_180200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;89,7;83,7271488159369;TRUE
"BeT_100_10100_0.9_allComponents-BeT_200_180200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;59,6;83,7271488159369;FALSE
"BeT_100_10100_0.9_allComponents-BeT_200_20200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;11,7;83,7271488159369;FALSE
"BeT_100_10100_0.9_allComponents-BeT_200_20200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;13,1;83,7271488159369;FALSE
"BeT_100_10100_0.9_allComponents-BeT_200_60200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;26;83,7271488159369;FALSE
"BeT_100_10100_0.9_allComponents-BeT_200_60200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;72,1;83,7271488159369;FALSE
"BeT_100_10100_0.9_allComponents-BeT_50_15050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;5,4;83,7271488159369;FALSE
"BeT_100_10100_0.9_allComponents-BeT_50_15050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;37,5;83,7271488159369;FALSE
"BeT_100_10100_0.9_allComponents-BeT_50_45050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;36,2;83,7271488159369;FALSE
"BeT_100_10100_0.9_allComponents-BeT_50_45050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;37;83,7271488159369;FALSE
"BeT_100_10100_0.9_allComponents-BeT_50_5050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;35,2;83,7271488159369;FALSE
"BeT_100_10100_0.9_allComponents-BeT_50_5050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;3,90000000000001;83,7271488159369;FALSE
"BeT_100_10100_1.0_allComponents-BeT_100_30100_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;41,5;83,7271488159369;FALSE
"BeT_100_10100_1.0_allComponents-BeT_100_30100_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;52,5;83,7271488159369;FALSE
"BeT_100_10100_1.0_allComponents-BeT_100_90100_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;50,1;83,7271488159369;FALSE
"BeT_100_10100_1.0_allComponents-BeT_100_90100_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;93,8;83,7271488159369;TRUE
"BeT_100_10100_1.0_allComponents-BeT_200_180200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;97,8;83,7271488159369;TRUE
"BeT_100_10100_1.0_allComponents-BeT_200_180200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;67,7;83,7271488159369;FALSE
"BeT_100_10100_1.0_allComponents-BeT_200_20200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;19,8;83,7271488159369;FALSE
"BeT_100_10100_1.0_allComponents-BeT_200_20200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;21,2;83,7271488159369;FALSE
"BeT_100_10100_1.0_allComponents-BeT_200_60200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;34,1;83,7271488159369;FALSE
"BeT_100_10100_1.0_allComponents-BeT_200_60200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;80,2;83,7271488159369;FALSE
"BeT_100_10100_1.0_allComponents-BeT_50_15050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;2,7;83,7271488159369;FALSE
"BeT_100_10100_1.0_allComponents-BeT_50_15050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;45,6;83,7271488159369;FALSE
"BeT_100_10100_1.0_allComponents-BeT_50_45050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;44,3;83,7271488159369;FALSE
"BeT_100_10100_1.0_allComponents-BeT_50_45050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;45,1;83,7271488159369;FALSE
"BeT_100_10100_1.0_allComponents-BeT_50_5050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;27,1;83,7271488159369;FALSE
"BeT_100_10100_1.0_allComponents-BeT_50_5050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;12;83,7271488159369;FALSE
"BeT_100_30100_0.9_allComponents-BeT_100_30100_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;11;83,7271488159369;FALSE
"BeT_100_30100_0.9_allComponents-BeT_100_90100_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;8,59999999999999;83,7271488159369;FALSE
"BeT_100_30100_0.9_allComponents-BeT_100_90100_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;52,3;83,7271488159369;FALSE
"BeT_100_30100_0.9_allComponents-BeT_200_180200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;56,3;83,7271488159369;FALSE
"BeT_100_30100_0.9_allComponents-BeT_200_180200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;26,2;83,7271488159369;FALSE
"BeT_100_30100_0.9_allComponents-BeT_200_20200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;21,7;83,7271488159369;FALSE
"BeT_100_30100_0.9_allComponents-BeT_200_20200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;20,3;83,7271488159369;FALSE
"BeT_100_30100_0.9_allComponents-BeT_200_60200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;7,40000000000001;83,7271488159369;FALSE
"BeT_100_30100_0.9_allComponents-BeT_200_60200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;38,7;83,7271488159369;FALSE
"BeT_100_30100_0.9_allComponents-BeT_50_15050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;38,8;83,7271488159369;FALSE
"BeT_100_30100_0.9_allComponents-BeT_50_15050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;4,09999999999999;83,7271488159369;FALSE
"BeT_100_30100_0.9_allComponents-BeT_50_45050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;2,8;83,7271488159369;FALSE
"BeT_100_30100_0.9_allComponents-BeT_50_45050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;3,59999999999999;83,7271488159369;FALSE
"BeT_100_30100_0.9_allComponents-BeT_50_5050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;68,6;83,7271488159369;FALSE
"BeT_100_30100_0.9_allComponents-BeT_50_5050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;29,5;83,7271488159369;FALSE
