"";"statistic";"signif.level";"dif.com.obs.dif";"dif.com.critical.dif";"dif.com.difference"
"BeT_100_10100_0.9_clientserver-BeT_100_10100_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;18,35;83,7271488159369;FALSE
"BeT_100_10100_0.9_clientserver-BeT_100_30100_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;57,05;83,7271488159369;FALSE
"BeT_100_10100_0.9_clientserver-BeT_100_30100_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;33,15;83,7271488159369;FALSE
"BeT_100_10100_0.9_clientserver-BeT_100_90100_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;65,35;83,7271488159369;FALSE
"BeT_100_10100_0.9_clientserver-BeT_100_90100_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;83,1;83,7271488159369;FALSE
"BeT_100_10100_0.9_clientserver-BeT_200_180200_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;112,35;83,7271488159369;TRUE
"BeT_100_10100_0.9_clientserver-BeT_200_180200_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;77,85;83,7271488159369;FALSE
"BeT_100_10100_0.9_clientserver-BeT_200_20200_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;24,45;83,7271488159369;FALSE
"BeT_100_10100_0.9_clientserver-BeT_200_20200_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;27,05;83,7271488159369;FALSE
"BeT_100_10100_0.9_clientserver-BeT_200_60200_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;67,55;83,7271488159369;FALSE
"BeT_100_10100_0.9_clientserver-BeT_200_60200_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;73,45;83,7271488159369;FALSE
"BeT_100_10100_0.9_clientserver-BeT_50_15050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;10,4;83,7271488159369;FALSE
"BeT_100_10100_0.9_clientserver-BeT_50_15050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;28,6;83,7271488159369;FALSE
"BeT_100_10100_0.9_clientserver-BeT_50_45050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;47,15;83,7271488159369;FALSE
"BeT_100_10100_0.9_clientserver-BeT_50_45050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;54,1;83,7271488159369;FALSE
"BeT_100_10100_0.9_clientserver-BeT_50_5050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;18,6;83,7271488159369;FALSE
"BeT_100_10100_0.9_clientserver-BeT_50_5050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;20,65;83,7271488159369;FALSE
"BeT_100_10100_1.0_clientserver-BeT_100_30100_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;38,7;83,7271488159369;FALSE
"BeT_100_10100_1.0_clientserver-BeT_100_30100_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;14,8;83,7271488159369;FALSE
"BeT_100_10100_1.0_clientserver-BeT_100_90100_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;47;83,7271488159369;FALSE
"BeT_100_10100_1.0_clientserver-BeT_100_90100_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;64,75;83,7271488159369;FALSE
"BeT_100_10100_1.0_clientserver-BeT_200_180200_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;94;83,7271488159369;TRUE
"BeT_100_10100_1.0_clientserver-BeT_200_180200_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;59,5;83,7271488159369;FALSE
