"";"statistic";"signif.level";"dif.com.obs.dif";"dif.com.critical.dif";"dif.com.difference"
"BeT_100_10100_0.9_layer-BeT_100_10100_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;13,95;83,7271488159369;FALSE
"BeT_100_10100_0.9_layer-BeT_100_30100_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;20,75;83,7271488159369;FALSE
"BeT_100_10100_0.9_layer-BeT_100_30100_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;26,75;83,7271488159369;FALSE
"BeT_100_10100_0.9_layer-BeT_100_90100_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;52,05;83,7271488159369;FALSE
"BeT_100_10100_0.9_layer-BeT_100_90100_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;69,15;83,7271488159369;FALSE
"BeT_100_10100_0.9_layer-BeT_200_180200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;72,65;83,7271488159369;FALSE
"BeT_100_10100_0.9_layer-BeT_200_180200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;74,35;83,7271488159369;FALSE
"BeT_100_10100_0.9_layer-BeT_200_20200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;3,84999999999999;83,7271488159369;FALSE
"BeT_100_10100_0.9_layer-BeT_200_20200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;23,95;83,7271488159369;FALSE
"BeT_100_10100_0.9_layer-BeT_200_60200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;34,55;83,7271488159369;FALSE
"BeT_100_10100_0.9_layer-BeT_200_60200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;31,75;83,7271488159369;FALSE
"BeT_100_10100_0.9_layer-BeT_50_15050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;9,55;83,7271488159369;FALSE
"BeT_100_10100_0.9_layer-BeT_50_15050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;10,35;83,7271488159369;FALSE
"BeT_100_10100_0.9_layer-BeT_50_45050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;36,4;83,7271488159369;FALSE
"BeT_100_10100_0.9_layer-BeT_50_45050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;56,75;83,7271488159369;FALSE
"BeT_100_10100_0.9_layer-BeT_50_5050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;33,75;83,7271488159369;FALSE
"BeT_100_10100_0.9_layer-BeT_50_5050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;33,25;83,7271488159369;FALSE
"BeT_100_10100_1.0_layer-BeT_100_30100_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;34,7;83,7271488159369;FALSE
"BeT_100_10100_1.0_layer-BeT_100_30100_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;40,7;83,7271488159369;FALSE
"BeT_100_10100_1.0_layer-BeT_100_90100_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;66;83,7271488159369;FALSE
"BeT_100_10100_1.0_layer-BeT_100_90100_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;83,1;83,7271488159369;FALSE
"BeT_100_10100_1.0_layer-BeT_200_180200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;86,6;83,7271488159369;TRUE
"BeT_100_10100_1.0_layer-BeT_200_180200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;88,3;83,7271488159369;TRUE
"BeT_100_10100_1.0_layer-BeT_200_20200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;17,8;83,7271488159369;FALSE
"BeT_100_10100_1.0_layer-BeT_200_20200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;37,9;83,7271488159369;FALSE
"BeT_100_10100_1.0_layer-BeT_200_60200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;48,5;83,7271488159369;FALSE
"BeT_100_10100_1.0_layer-BeT_200_60200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;45,7;83,7271488159369;FALSE
"BeT_100_10100_1.0_layer-BeT_50_15050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;23,5;83,7271488159369;FALSE
"BeT_100_10100_1.0_layer-BeT_50_15050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;24,3;83,7271488159369;FALSE
"BeT_100_10100_1.0_layer-BeT_50_45050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;50,35;83,7271488159369;FALSE
"BeT_100_10100_1.0_layer-BeT_50_45050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;70,7;83,7271488159369;FALSE
"BeT_100_10100_1.0_layer-BeT_50_5050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;19,8;83,7271488159369;FALSE
"BeT_100_10100_1.0_layer-BeT_50_5050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;19,3;83,7271488159369;FALSE
"BeT_100_30100_0.9_layer-BeT_100_30100_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;6;83,7271488159369;FALSE
"BeT_100_30100_0.9_layer-BeT_100_90100_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;31,3;83,7271488159369;FALSE
"BeT_100_30100_0.9_layer-BeT_100_90100_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;48,4;83,7271488159369;FALSE
"BeT_100_30100_0.9_layer-BeT_200_180200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;51,9;83,7271488159369;FALSE
"BeT_100_30100_0.9_layer-BeT_200_180200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;53,6;83,7271488159369;FALSE
"BeT_100_30100_0.9_layer-BeT_200_20200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;16,9;83,7271488159369;FALSE
"BeT_100_30100_0.9_layer-BeT_200_20200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;3,2;83,7271488159369;FALSE
"BeT_100_30100_0.9_layer-BeT_200_60200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;13,8;83,7271488159369;FALSE
"BeT_100_30100_0.9_layer-BeT_200_60200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;11;83,7271488159369;FALSE
"BeT_100_30100_0.9_layer-BeT_50_15050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;11,2;83,7271488159369;FALSE
