"";"statistic";"signif.level";"dif.com.obs.dif";"dif.com.critical.dif";"dif.com.difference"
"MobileMedia_100_10100_0.9_allComponents-MobileMedia_100_10100_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;1,8;83,7271488159369;FALSE
"MobileMedia_100_10100_0.9_allComponents-MobileMedia_100_30100_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;32,2;83,7271488159369;FALSE
"MobileMedia_100_10100_0.9_allComponents-MobileMedia_100_30100_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;21,9;83,7271488159369;FALSE
"MobileMedia_100_10100_0.9_allComponents-MobileMedia_100_90100_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;84,9;83,7271488159369;TRUE
"MobileMedia_100_10100_0.9_allComponents-MobileMedia_100_90100_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;89,1;83,7271488159369;TRUE
"MobileMedia_100_10100_0.9_allComponents-MobileMedia_200_180200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;93,1;83,7271488159369;TRUE
"MobileMedia_100_10100_0.9_allComponents-MobileMedia_200_180200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;87,5;83,7271488159369;TRUE
"MobileMedia_100_10100_0.9_allComponents-MobileMedia_200_20200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;62,7;83,7271488159369;FALSE
"MobileMedia_100_10100_0.9_allComponents-MobileMedia_200_20200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;29,3;83,7271488159369;FALSE
"MobileMedia_100_10100_0.9_allComponents-MobileMedia_200_60200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;78,8;83,7271488159369;FALSE
"MobileMedia_100_10100_0.9_allComponents-MobileMedia_200_60200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;83,9;83,7271488159369;TRUE
"MobileMedia_100_10100_0.9_allComponents-MobileMedia_50_15050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;27,7;83,7271488159369;FALSE
"MobileMedia_100_10100_0.9_allComponents-MobileMedia_50_15050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;14,6;83,7271488159369;FALSE
"MobileMedia_100_10100_0.9_allComponents-MobileMedia_50_45050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;56,9;83,7271488159369;FALSE
"MobileMedia_100_10100_0.9_allComponents-MobileMedia_50_45050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;72,2;83,7271488159369;FALSE
"MobileMedia_100_10100_0.9_allComponents-MobileMedia_50_5050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;0,100000000000001;83,7271488159369;FALSE
"MobileMedia_100_10100_0.9_allComponents-MobileMedia_50_5050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;19,5;83,7271488159369;FALSE
"MobileMedia_100_10100_1.0_allComponents-MobileMedia_100_30100_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;34;83,7271488159369;FALSE
"MobileMedia_100_10100_1.0_allComponents-MobileMedia_100_30100_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;23,7;83,7271488159369;FALSE
"MobileMedia_100_10100_1.0_allComponents-MobileMedia_100_90100_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;86,7;83,7271488159369;TRUE
"MobileMedia_100_10100_1.0_allComponents-MobileMedia_100_90100_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;90,9;83,7271488159369;TRUE
"MobileMedia_100_10100_1.0_allComponents-MobileMedia_200_180200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;94,9;83,7271488159369;TRUE
"MobileMedia_100_10100_1.0_allComponents-MobileMedia_200_180200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;89,3;83,7271488159369;TRUE
"MobileMedia_100_10100_1.0_allComponents-MobileMedia_200_20200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;64,5;83,7271488159369;FALSE
"MobileMedia_100_10100_1.0_allComponents-MobileMedia_200_20200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;31,1;83,7271488159369;FALSE
"MobileMedia_100_10100_1.0_allComponents-MobileMedia_200_60200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;80,6;83,7271488159369;FALSE
"MobileMedia_100_10100_1.0_allComponents-MobileMedia_200_60200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;85,7;83,7271488159369;TRUE
"MobileMedia_100_10100_1.0_allComponents-MobileMedia_50_15050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;29,5;83,7271488159369;FALSE
"MobileMedia_100_10100_1.0_allComponents-MobileMedia_50_15050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;16,4;83,7271488159369;FALSE
"MobileMedia_100_10100_1.0_allComponents-MobileMedia_50_45050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;58,7;83,7271488159369;FALSE
"MobileMedia_100_10100_1.0_allComponents-MobileMedia_50_45050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;74;83,7271488159369;FALSE
"MobileMedia_100_10100_1.0_allComponents-MobileMedia_50_5050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;1,9;83,7271488159369;FALSE
"MobileMedia_100_10100_1.0_allComponents-MobileMedia_50_5050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;17,7;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_allComponents-MobileMedia_100_30100_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;10,3;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_allComponents-MobileMedia_100_90100_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;52,7;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_allComponents-MobileMedia_100_90100_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;56,9;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_allComponents-MobileMedia_200_180200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;60,9;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_allComponents-MobileMedia_200_180200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;55,3;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_allComponents-MobileMedia_200_20200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;30,5;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_allComponents-MobileMedia_200_20200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;2,90000000000001;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_allComponents-MobileMedia_200_60200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;46,6;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_allComponents-MobileMedia_200_60200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;51,7;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_allComponents-MobileMedia_50_15050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;4,5;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_allComponents-MobileMedia_50_15050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;17,6;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_allComponents-MobileMedia_50_45050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;24,7;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_allComponents-MobileMedia_50_45050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;40;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_allComponents-MobileMedia_50_5050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;32,1;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_allComponents-MobileMedia_50_5050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;51,7;83,7271488159369;FALSE
"MobileMedia_100_30100_1.0_allComponents-MobileMedia_100_90100_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;63;83,7271488159369;FALSE
"MobileMedia_100_30100_1.0_allComponents-MobileMedia_100_90100_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;67,2;83,7271488159369;FALSE
"MobileMedia_100_30100_1.0_allComponents-MobileMedia_200_180200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;71,2;83,7271488159369;FALSE
"MobileMedia_100_30100_1.0_allComponents-MobileMedia_200_180200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;65,6;83,7271488159369;FALSE
"MobileMedia_100_30100_1.0_allComponents-MobileMedia_200_20200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;40,8;83,7271488159369;FALSE
