"";"statistic";"signif.level";"dif.com.obs.dif";"dif.com.critical.dif";"dif.com.difference"
"MobileMedia_100_10100_0.9_layer-MobileMedia_100_10100_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;13;83,7271488159369;FALSE
"MobileMedia_100_10100_0.9_layer-MobileMedia_100_30100_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;46,3;83,7271488159369;FALSE
"MobileMedia_100_10100_0.9_layer-MobileMedia_100_30100_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;47,7;83,7271488159369;FALSE
"MobileMedia_100_10100_0.9_layer-MobileMedia_100_90100_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;51,4;83,7271488159369;FALSE
"MobileMedia_100_10100_0.9_layer-MobileMedia_100_90100_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;77,3;83,7271488159369;FALSE
"MobileMedia_100_10100_0.9_layer-MobileMedia_200_180200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;70,1;83,7271488159369;FALSE
"MobileMedia_100_10100_0.9_layer-MobileMedia_200_180200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;95,7;83,7271488159369;TRUE
"MobileMedia_100_10100_0.9_layer-MobileMedia_200_20200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;16,5;83,7271488159369;FALSE
"MobileMedia_100_10100_0.9_layer-MobileMedia_200_20200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;6;83,7271488159369;FALSE
"MobileMedia_100_10100_0.9_layer-MobileMedia_200_60200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;53,3;83,7271488159369;FALSE
"MobileMedia_100_10100_0.9_layer-MobileMedia_200_60200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;51,9;83,7271488159369;FALSE
"MobileMedia_100_10100_0.9_layer-MobileMedia_50_15050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;21,8;83,7271488159369;FALSE
"MobileMedia_100_10100_0.9_layer-MobileMedia_50_15050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;5,4;83,7271488159369;FALSE
"MobileMedia_100_10100_0.9_layer-MobileMedia_50_45050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;62,7;83,7271488159369;FALSE
"MobileMedia_100_10100_0.9_layer-MobileMedia_50_45050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;16,5;83,7271488159369;FALSE
"MobileMedia_100_10100_0.9_layer-MobileMedia_50_5050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;9,1;83,7271488159369;FALSE
"MobileMedia_100_10100_0.9_layer-MobileMedia_50_5050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;5,1;83,7271488159369;FALSE
"MobileMedia_100_10100_1.0_layer-MobileMedia_100_30100_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;33,3;83,7271488159369;FALSE
"MobileMedia_100_10100_1.0_layer-MobileMedia_100_30100_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;34,7;83,7271488159369;FALSE
"MobileMedia_100_10100_1.0_layer-MobileMedia_100_90100_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;38,4;83,7271488159369;FALSE
"MobileMedia_100_10100_1.0_layer-MobileMedia_100_90100_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;64,3;83,7271488159369;FALSE
"MobileMedia_100_10100_1.0_layer-MobileMedia_200_180200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;57,1;83,7271488159369;FALSE
"MobileMedia_100_10100_1.0_layer-MobileMedia_200_180200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;82,7;83,7271488159369;FALSE
"MobileMedia_100_10100_1.0_layer-MobileMedia_200_20200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;3,5;83,7271488159369;FALSE
"MobileMedia_100_10100_1.0_layer-MobileMedia_200_20200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;7;83,7271488159369;FALSE
"MobileMedia_100_10100_1.0_layer-MobileMedia_200_60200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;40,3;83,7271488159369;FALSE
"MobileMedia_100_10100_1.0_layer-MobileMedia_200_60200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;38,9;83,7271488159369;FALSE
"MobileMedia_100_10100_1.0_layer-MobileMedia_50_15050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;34,8;83,7271488159369;FALSE
"MobileMedia_100_10100_1.0_layer-MobileMedia_50_15050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;18,4;83,7271488159369;FALSE
"MobileMedia_100_10100_1.0_layer-MobileMedia_50_45050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;49,7;83,7271488159369;FALSE
"MobileMedia_100_10100_1.0_layer-MobileMedia_50_45050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;3,5;83,7271488159369;FALSE
"MobileMedia_100_10100_1.0_layer-MobileMedia_50_5050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;22,1;83,7271488159369;FALSE
"MobileMedia_100_10100_1.0_layer-MobileMedia_50_5050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;18,1;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_layer-MobileMedia_100_30100_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;1,40000000000001;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_layer-MobileMedia_100_90100_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;5,10000000000001;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_layer-MobileMedia_100_90100_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;31;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_layer-MobileMedia_200_180200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;23,8;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_layer-MobileMedia_200_180200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;49,4;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_layer-MobileMedia_200_20200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;29,8;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_layer-MobileMedia_200_20200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;40,3;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_layer-MobileMedia_200_60200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;7;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_layer-MobileMedia_200_60200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;5,60000000000001;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_layer-MobileMedia_50_15050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;68,1;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_layer-MobileMedia_50_15050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;51,7;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_layer-MobileMedia_50_45050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;16,4;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_layer-MobileMedia_50_45050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;29,8;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_layer-MobileMedia_50_5050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;55,4;83,7271488159369;FALSE
"MobileMedia_100_30100_0.9_layer-MobileMedia_50_5050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;51,4;83,7271488159369;FALSE
"MobileMedia_100_30100_1.0_layer-MobileMedia_100_90100_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;3,7;83,7271488159369;FALSE
"MobileMedia_100_30100_1.0_layer-MobileMedia_100_90100_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;29,6;83,7271488159369;FALSE
"MobileMedia_100_30100_1.0_layer-MobileMedia_200_180200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;22,4;83,7271488159369;FALSE
"MobileMedia_100_30100_1.0_layer-MobileMedia_200_180200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;48;83,7271488159369;FALSE
"MobileMedia_100_30100_1.0_layer-MobileMedia_200_20200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;31,2;83,7271488159369;FALSE
"MobileMedia_100_30100_1.0_layer-MobileMedia_200_20200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;41,7;83,7271488159369;FALSE
"MobileMedia_100_30100_1.0_layer-MobileMedia_200_60200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;5,59999999999999;83,7271488159369;FALSE
"MobileMedia_100_30100_1.0_layer-MobileMedia_200_60200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;4,2;83,7271488159369;FALSE
"MobileMedia_100_30100_1.0_layer-MobileMedia_50_15050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;69,5;83,7271488159369;FALSE
"MobileMedia_100_30100_1.0_layer-MobileMedia_50_15050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;53,1;83,7271488159369;FALSE
"MobileMedia_100_30100_1.0_layer-MobileMedia_50_45050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;15;83,7271488159369;FALSE
"MobileMedia_100_30100_1.0_layer-MobileMedia_50_45050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;31,2;83,7271488159369;FALSE
"MobileMedia_100_30100_1.0_layer-MobileMedia_50_5050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;56,8;83,7271488159369;FALSE
"MobileMedia_100_30100_1.0_layer-MobileMedia_50_5050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;52,8;83,7271488159369;FALSE
"MobileMedia_100_90100_0.9_layer-MobileMedia_100_90100_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;25,9;83,7271488159369;FALSE
"MobileMedia_100_90100_0.9_layer-MobileMedia_200_180200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;18,7;83,7271488159369;FALSE
"MobileMedia_100_90100_0.9_layer-MobileMedia_200_180200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;44,3;83,7271488159369;FALSE
"MobileMedia_100_90100_0.9_layer-MobileMedia_200_20200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;34,9;83,7271488159369;FALSE
"MobileMedia_100_90100_0.9_layer-MobileMedia_200_20200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;45,4;83,7271488159369;FALSE
"MobileMedia_100_90100_0.9_layer-MobileMedia_200_60200_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;1,89999999999999;83,7271488159369;FALSE
"MobileMedia_100_90100_0.9_layer-MobileMedia_200_60200_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;0,5;83,7271488159369;FALSE
"MobileMedia_100_90100_0.9_layer-MobileMedia_50_15050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;73,2;83,7271488159369;FALSE
"MobileMedia_100_90100_0.9_layer-MobileMedia_50_15050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;56,8;83,7271488159369;FALSE
