"";"statistic";"signif.level";"dif.com.obs.dif";"dif.com.critical.dif";"dif.com.difference"
"agm_100_10100_0.9_allComponents-agm_100_10100_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;8,9;83,7271488159369;FALSE
"agm_100_10100_0.9_allComponents-agm_100_30100_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;59,7;83,7271488159369;FALSE
"agm_100_10100_0.9_allComponents-agm_100_30100_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;61;83,7271488159369;FALSE
"agm_100_10100_0.9_allComponents-agm_100_90100_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;103,2;83,7271488159369;TRUE
"agm_100_10100_0.9_allComponents-agm_100_90100_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;111,8;83,7271488159369;TRUE
"agm_100_10100_0.9_allComponents-agm_200_180200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;125,5;83,7271488159369;TRUE
"agm_100_10100_0.9_allComponents-agm_200_180200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;128,8;83,7271488159369;TRUE
"agm_100_10100_0.9_allComponents-agm_200_20200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;34;83,7271488159369;FALSE
"agm_100_10100_0.9_allComponents-agm_200_20200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;37,8;83,7271488159369;FALSE
"agm_100_10100_0.9_allComponents-agm_200_60200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;84,4;83,7271488159369;TRUE
"agm_100_10100_0.9_allComponents-agm_200_60200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;91,8;83,7271488159369;TRUE
"agm_100_10100_0.9_allComponents-agm_50_15050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;46,4;83,7271488159369;FALSE
"agm_100_10100_0.9_allComponents-agm_50_15050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;21;83,7271488159369;FALSE
"agm_100_10100_0.9_allComponents-agm_50_45050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;105,8;83,7271488159369;TRUE
"agm_100_10100_0.9_allComponents-agm_50_45050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;102,2;83,7271488159369;TRUE
"agm_100_10100_0.9_allComponents-agm_50_5050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;11,3;83,7271488159369;FALSE
"agm_100_10100_0.9_allComponents-agm_50_5050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;11,2;83,7271488159369;FALSE
"agm_100_10100_1.0_allComponents-agm_100_30100_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;50,8;83,7271488159369;FALSE
"agm_100_10100_1.0_allComponents-agm_100_30100_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;52,1;83,7271488159369;FALSE
"agm_100_10100_1.0_allComponents-agm_100_90100_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;94,3;83,7271488159369;TRUE
"agm_100_10100_1.0_allComponents-agm_100_90100_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;102,9;83,7271488159369;TRUE
"agm_100_10100_1.0_allComponents-agm_200_180200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;116,6;83,7271488159369;TRUE
"agm_100_10100_1.0_allComponents-agm_200_180200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;119,9;83,7271488159369;TRUE
"agm_100_10100_1.0_allComponents-agm_200_20200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;25,1;83,7271488159369;FALSE
"agm_100_10100_1.0_allComponents-agm_200_20200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;28,9;83,7271488159369;FALSE
"agm_100_10100_1.0_allComponents-agm_200_60200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;75,5;83,7271488159369;FALSE
"agm_100_10100_1.0_allComponents-agm_200_60200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;82,9;83,7271488159369;FALSE
