,statistic,signif.level,dif.com.obs.dif,dif.com.critical.dif,dif.com.difference,,,
agm_100_10100_0.9_layer-agm_100_10100_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,5,6,83,7271488159369,FALSE
agm_100_10100_0.9_layer-agm_100_30100_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,46,7,83,7271488159369,FALSE
agm_100_10100_0.9_layer-agm_100_30100_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,43,6,83,7271488159369,FALSE
agm_100_10100_0.9_layer-agm_100_90100_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,108,6,83,7271488159369,TRUE
agm_100_10100_0.9_layer-agm_100_90100_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,104,9,83,7271488159369,TRUE
agm_100_10100_0.9_layer-agm_200_180200_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,107,7,83,7271488159369,TRUE
agm_100_10100_0.9_layer-agm_200_180200_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,114,83,7271488159369,,TRUE
agm_100_10100_0.9_layer-agm_200_20200_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,18,4,83,7271488159369,FALSE
agm_100_10100_0.9_layer-agm_200_20200_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,14,3,83,7271488159369,FALSE
agm_100_10100_0.9_layer-agm_200_60200_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,84,3,83,7271488159369,TRUE
agm_100_10100_0.9_layer-agm_200_60200_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,83,1,83,7271488159369,FALSE
agm_100_10100_0.9_layer-agm_50_15050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,14,1,83,7271488159369,FALSE
agm_100_10100_0.9_layer-agm_50_15050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,18,2,83,7271488159369,FALSE
agm_100_10100_0.9_layer-agm_50_45050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,53,2,83,7271488159369,FALSE
