"";"statistic";"signif.level";"dif.com.obs.dif";"dif.com.critical.dif";"dif.com.difference"
"banking_100_10100_0.9_allComponents-banking_100_10100_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;31;83,7271488159369;FALSE
"banking_100_10100_0.9_allComponents-banking_100_30100_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;53,2;83,7271488159369;FALSE
"banking_100_10100_0.9_allComponents-banking_100_30100_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;50,7;83,7271488159369;FALSE
"banking_100_10100_0.9_allComponents-banking_100_90100_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;55,9;83,7271488159369;FALSE
"banking_100_10100_0.9_allComponents-banking_100_90100_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;66,7;83,7271488159369;FALSE
"banking_100_10100_0.9_allComponents-banking_200_180200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;82,3;83,7271488159369;FALSE
"banking_100_10100_0.9_allComponents-banking_200_180200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;55,5;83,7271488159369;FALSE
"banking_100_10100_0.9_allComponents-banking_200_20200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;88,8;83,7271488159369;TRUE
"banking_100_10100_0.9_allComponents-banking_200_20200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;52,8;83,7271488159369;FALSE
"banking_100_10100_0.9_allComponents-banking_200_60200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;76,1;83,7271488159369;FALSE
"banking_100_10100_0.9_allComponents-banking_200_60200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;76,4;83,7271488159369;FALSE
"banking_100_10100_0.9_allComponents-banking_50_15050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;12,2;83,7271488159369;FALSE
