"";"statistic";"signif.level";"dif.com.obs.dif";"dif.com.critical.dif";"dif.com.difference"
"banking_100_10100_0.9_clientserver-banking_100_10100_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;0,5;83,7271488159369;FALSE
"banking_100_10100_0.9_clientserver-banking_100_30100_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;3,60000000000001;83,7271488159369;FALSE
"banking_100_10100_0.9_clientserver-banking_100_30100_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;25,95;83,7271488159369;FALSE
"banking_100_10100_0.9_clientserver-banking_100_90100_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;31,55;83,7271488159369;FALSE
"banking_100_10100_0.9_clientserver-banking_100_90100_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;33,25;83,7271488159369;FALSE
"banking_100_10100_0.9_clientserver-banking_200_180200_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;64,8;83,7271488159369;FALSE
"banking_100_10100_0.9_clientserver-banking_200_180200_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;63,3;83,7271488159369;FALSE
"banking_100_10100_0.9_clientserver-banking_200_20200_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;13,85;83,7271488159369;FALSE
"banking_100_10100_0.9_clientserver-banking_200_20200_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;7;83,7271488159369;FALSE
"banking_100_10100_0.9_clientserver-banking_200_60200_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;26,9;83,7271488159369;FALSE
"banking_100_10100_0.9_clientserver-banking_200_60200_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;31,05;83,7271488159369;FALSE
"banking_100_10100_0.9_clientserver-banking_50_15050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;14,75;83,7271488159369;FALSE
"banking_100_10100_0.9_clientserver-banking_50_15050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;20,05;83,7271488159369;FALSE
